Time,sasa,gyrate,hbond,LJSR,CSR
10200.0,26.173,0.874628,49.0,-699.573608,-1832.442139
10300.0,26.537,0.870533,55.0,-786.754456,-1875.438721
10400.0,26.478,0.868573,57.0,-730.336304,-1998.102417
10500.0,26.081,0.870539,47.0,-691.734741,-1880.638184
10600.0,27.037,0.868992,48.0,-780.273132,-1747.690552
10700.0,27.591,0.884009,52.0,-833.165222,-1698.965332
10800.0,27.006,0.872847,52.0,-885.386108,-1703.169189
10900.0,26.005,0.869621,54.0,-750.283875,-1686.143066
11000.0,26.226,0.862474,53.0,-836.036804,-1810.989014
11100.0,25.92,0.869859,51.0,-763.921936,-1851.393799
11200.0,26.499,0.874064,50.0,-774.146912,-1825.596924
11300.0,26.409,0.870642,55.0,-808.72113,-1819.34436
11400.0,25.847,0.873383,59.0,-808.705322,-1842.288818
11500.0,25.615,0.858524,52.0,-833.483276,-1798.433105
11600.0,25.97,0.865576,51.0,-724.972961,-1838.273071
11700.0,25.252,0.870893,55.0,-818.78717,-1921.448853
11800.0,25.456,0.857865,55.0,-830.214294,-1812.273071
11900.0,25.535,0.857673,52.0,-836.94928,-1817.328857
12000.0,25.493,0.861454,57.0,-759.954224,-1931.761475
12100.0,25.46,0.862075,58.0,-864.63562,-1869.145264
12200.0,25.318,0.862584,53.0,-802.733887,-1909.720703
12300.0,26.677,0.859996,52.0,-842.759827,-1696.094482
12400.0,26.951,0.868108,48.0,-839.237915,-1740.58374
12500.0,26.327,0.863191,57.0,-824.866638,-1910.982666
12600.0,26.15,0.869018,52.0,-806.630859,-1690.711426
12700.0,26.252,0.865182,51.0,-786.939209,-1724.051514
12800.0,25.891,0.869163,57.0,-832.673645,-1803.351685
12900.0,26.216,0.865873,55.0,-749.320374,-1730.088623
13000.0,26.172,0.866384,52.0,-762.611877,-1718.066895
13100.0,26.38,0.873757,54.0,-848.963318,-1681.609253
13200.0,25.738,0.871909,48.0,-835.164612,-1806.035767
13300.0,25.557,0.870307,53.0,-825.322388,-1847.792847
13400.0,26.018,0.873843,60.0,-856.467163,-1996.774414
13500.0,25.87,0.875214,55.0,-767.543335,-1886.476318
13600.0,25.345,0.872377,56.0,-780.010559,-2041.345215
13700.0,26.393,0.879428,54.0,-813.310059,-1826.901978
13800.0,26.052,0.860287,51.0,-768.933716,-1774.417358
13900.0,25.961,0.870636,52.0,-831.317383,-1776.000977
14000.0,26.275,0.869077,52.0,-804.692505,-1817.078125
14100.0,27.096,0.871397,52.0,-810.77594,-1815.188232
14200.0,26.162,0.877157,48.0,-879.287537,-1611.236938
14300.0,25.218,0.866941,51.0,-858.646912,-1669.225342
14400.0,26.086,0.871245,53.0,-876.924438,-1724.35498
14500.0,25.42,0.867301,56.0,-795.549072,-1919.055298
14600.0,25.807,0.881246,60.0,-811.585815,-1834.266724
14700.0,25.531,0.867299,60.0,-823.452698,-1851.663086
14800.0,25.805,0.872219,57.0,-808.59491,-1821.622803
14900.0,26.537,0.875075,53.0,-856.998901,-1843.694092
15000.0,26.046,0.873123,50.0,-838.942444,-1800.623535
15100.0,25.584,0.857928,52.0,-857.425903,-1715.946411
15200.0,25.536,0.856502,55.0,-943.139099,-1748.297607
15300.0,25.387,0.861392,54.0,-878.119263,-1867.355713
15400.0,25.847,0.860681,55.0,-786.492004,-1847.989624
15500.0,26.109,0.866715,57.0,-773.26532,-1974.434326
15600.0,25.802,0.868574,59.0,-823.324402,-1877.087769
15700.0,26.282,0.86761,53.0,-750.329468,-1950.374512
15800.0,26.54,0.866948,53.0,-760.338074,-1837.229004
15900.0,25.98,0.865925,55.0,-790.796387,-1810.492188
16000.0,26.133,0.873623,55.0,-796.46405,-1734.676514
16100.0,25.829,0.874154,52.0,-885.88324,-1626.437256
16200.0,25.458,0.868714,54.0,-865.455444,-1867.150513
16300.0,26.218,0.873156,50.0,-718.996155,-1764.937012
16400.0,26.154,0.87786,51.0,-887.400024,-1745.129395
16500.0,25.364,0.864279,49.0,-758.144592,-1739.751953
16600.0,26.812,0.875324,53.0,-818.395325,-1754.566406
16700.0,26.24,0.863705,52.0,-839.247986,-1755.581055
16800.0,25.782,0.87407,55.0,-814.576721,-1804.918091
16900.0,26.241,0.871554,48.0,-820.908569,-1617.848633
17000.0,26.589,0.875534,55.0,-822.123291,-1820.062256
17100.0,26.715,0.884294,51.0,-896.822571,-1595.731079
17200.0,26.848,0.875869,54.0,-816.495728,-1646.145752
17300.0,26.12,0.880119,50.0,-800.68103,-1730.779663
17400.0,25.622,0.875448,51.0,-831.760376,-1805.72168
17500.0,26.145,0.879205,47.0,-841.604614,-1717.728149
17600.0,25.823,0.88141,53.0,-814.464905,-1767.633545
17700.0,26.667,0.885193,53.0,-854.186462,-1872.282837
17800.0,26.634,0.89057,49.0,-778.697571,-1808.344604
17900.0,25.667,0.879575,54.0,-901.714905,-1815.961182
18000.0,26.446,0.878147,50.0,-834.422791,-1788.02063
18100.0,25.574,0.872236,54.0,-775.40863,-1896.300293
18200.0,24.849,0.874455,53.0,-830.128845,-1739.122925
18300.0,25.215,0.877439,49.0,-806.064636,-1624.89856
18400.0,24.963,0.867888,52.0,-797.412842,-1803.125366
18500.0,25.971,0.867235,54.0,-757.596436,-1932.845459
18600.0,26.673,0.881791,57.0,-731.454224,-1939.128296
18700.0,26.32,0.872689,52.0,-829.610901,-1848.967041
18800.0,25.58,0.872441,52.0,-851.930054,-1641.253052
18900.0,25.023,0.87244,57.0,-762.96051,-1776.362305
19000.0,25.913,0.873957,56.0,-743.978516,-1881.855591
19100.0,25.343,0.872934,52.0,-787.948425,-1789.849487
19200.0,25.447,0.875963,54.0,-813.771179,-1724.493042
19300.0,26.401,0.883095,50.0,-830.946899,-1793.943359
19400.0,25.118,0.875594,59.0,-801.639038,-1852.33252
19500.0,26.1,0.876597,56.0,-703.430298,-1917.903809
19600.0,26.228,0.886811,60.0,-759.044739,-1957.410767
19700.0,26.738,0.889155,59.0,-783.454163,-1968.42749
19800.0,26.138,0.879414,59.0,-723.958679,-2048.040039
19900.0,26.032,0.883288,54.0,-706.7229,-1874.290894
20000.0,26.882,0.88464,54.0,-821.879211,-1721.701782
20100.0,25.933,0.879134,54.0,-815.072815,-1769.777588
20200.0,26.89,0.889783,54.0,-826.528198,-1678.908325
20300.0,26.483,0.875276,51.0,-837.903076,-1802.216797
20400.0,26.01,0.8827,55.0,-796.809448,-1743.34082
20500.0,26.95,0.892474,62.0,-704.202515,-2011.927368
20600.0,26.254,0.884148,59.0,-740.201904,-1904.532227
20700.0,25.584,0.879314,60.0,-757.03064,-1956.930298
20800.0,26.209,0.88856,58.0,-758.893677,-1889.213745
20900.0,26.972,0.891029,52.0,-808.337036,-1990.166748
21000.0,25.28,0.886867,60.0,-829.610596,-1874.230347
21100.0,26.303,0.886299,59.0,-785.974121,-1944.312378
21200.0,26.382,0.891261,53.0,-894.457031,-1746.055908
21300.0,26.003,0.889556,57.0,-831.677979,-1969.526733
21400.0,27.065,0.900745,61.0,-798.578369,-2110.141846
21500.0,26.397,0.894543,56.0,-881.15094,-1705.881104
21600.0,26.121,0.892679,59.0,-784.716553,-1963.079224
21700.0,26.975,0.889766,56.0,-837.077271,-1871.448242
21800.0,27.094,0.895221,56.0,-810.648376,-1918.160522
21900.0,26.59,0.885411,47.0,-860.760071,-1723.207764
22000.0,26.821,0.893213,54.0,-868.336243,-1944.347656
22100.0,27.327,0.894967,63.0,-804.991211,-2112.47998
22200.0,25.802,0.886085,56.0,-846.185303,-1920.093018
22300.0,25.953,0.883209,51.0,-794.67511,-1691.080078
22400.0,25.447,0.87212,54.0,-848.194885,-1748.420654
22500.0,26.001,0.867996,46.0,-824.711365,-1739.645752
22600.0,26.532,0.879329,52.0,-825.979248,-1831.344482
22700.0,26.515,0.873675,50.0,-835.800964,-1607.728027
22800.0,26.603,0.880765,52.0,-785.629517,-1800.154297
22900.0,25.696,0.86942,55.0,-716.657715,-1811.394287
23000.0,25.833,0.875989,53.0,-664.57019,-1843.344604
23100.0,26.033,0.869777,56.0,-819.740845,-1808.380371
23200.0,26.094,0.862326,56.0,-767.141785,-1928.45166
23300.0,25.899,0.870904,54.0,-689.218018,-1872.094238
23400.0,25.819,0.878415,51.0,-796.329407,-1695.531006
23500.0,26.174,0.872143,51.0,-795.584595,-1796.22168
23600.0,25.52,0.876595,53.0,-807.679077,-1802.744385
23700.0,26.534,0.883721,47.0,-824.889221,-1789.609863
23800.0,26.183,0.880744,53.0,-837.071533,-1760.267212
23900.0,27.064,0.894177,50.0,-823.029663,-1648.90271
24000.0,26.243,0.891022,53.0,-870.266663,-1723.117432
24100.0,26.422,0.886655,56.0,-812.457092,-1844.198242
24200.0,26.733,0.887718,54.0,-811.428345,-1717.814697
24300.0,27.247,0.895612,54.0,-819.501404,-1752.085693
24400.0,26.525,0.885962,55.0,-837.492554,-1858.351318
24500.0,27.186,0.892319,50.0,-821.42981,-1704.303345
24600.0,26.725,0.887513,50.0,-806.536682,-1819.798462
24700.0,25.839,0.877987,53.0,-772.391663,-1992.673706
24800.0,26.246,0.876799,52.0,-838.710266,-1842.908691
24900.0,25.694,0.885136,51.0,-815.016724,-1825.429932
25000.0,25.71,0.8879,54.0,-819.353455,-1821.980957
25100.0,26.876,0.895123,56.0,-874.793396,-1888.421265
25200.0,26.434,0.890493,55.0,-875.357666,-1816.062744
25300.0,27.028,0.888563,53.0,-949.968628,-1709.518066
25400.0,26.868,0.900697,54.0,-930.520813,-1827.333862
25500.0,26.371,0.885242,56.0,-870.575562,-1879.131104
25600.0,26.532,0.890038,55.0,-822.007141,-1961.157104
25700.0,26.594,0.893359,58.0,-818.292542,-1903.876953
25800.0,26.749,0.888071,55.0,-854.390503,-1803.66394
25900.0,27.266,0.903102,59.0,-852.141052,-1882.168457
26000.0,25.984,0.882087,61.0,-785.356384,-1932.548218
26100.0,26.769,0.890326,57.0,-880.246033,-1835.168945
26200.0,25.957,0.882408,55.0,-841.649963,-1778.771729
26300.0,26.733,0.87529,50.0,-850.916992,-1768.476929
26400.0,25.721,0.889851,56.0,-899.866516,-1666.52356
26500.0,26.901,0.881773,54.0,-826.260437,-1902.722412
26600.0,25.01,0.873928,52.0,-865.400208,-1681.78772
26700.0,25.245,0.868644,57.0,-801.934265,-1793.939697
26800.0,25.704,0.874602,58.0,-838.361694,-1840.981201
26900.0,26.423,0.885683,57.0,-802.914795,-1841.481445
27000.0,25.72,0.896817,48.0,-812.767944,-1734.678223
27100.0,26.919,0.898365,46.0,-1005.275024,-1368.889404
27200.0,25.548,0.881544,51.0,-886.480652,-1740.440308
27300.0,25.668,0.867693,51.0,-927.197266,-1648.016846
27400.0,26.378,0.87919,52.0,-838.483765,-1744.224854
27500.0,25.31,0.875545,52.0,-853.620544,-1752.450928
27600.0,25.098,0.878196,58.0,-804.126099,-1843.239624
27700.0,25.706,0.876449,55.0,-786.536743,-1919.457275
27800.0,25.556,0.878978,54.0,-901.536316,-1781.884155
27900.0,25.571,0.876886,48.0,-885.489929,-1725.946533
28000.0,25.643,0.877724,56.0,-871.703796,-1747.19165
28100.0,26.18,0.875671,58.0,-779.951477,-1827.995117
28200.0,26.314,0.881113,49.0,-850.398987,-1727.880493
