time,LJSR,CSR,density,nonbonding,
175000,-22836.467993,-313923.041417,1287.478982,-336759.50941,1
175000,-22956.043765,-310910.504243,1343.438446,-333866.548008,3
175000,-6668.189864,-216247.395146,1426.221321,-222915.58501,5
175000,1105.944221,-265122.131267,1317.265201,-264016.187046,7
175000,-2247.700956,-292051.962701,1347.604033,-294299.663658,9
175000,3637.398242,-302916.3123,1327.633238,-299278.914058,11
175000,1746.27446,-308010.642515,1356.129562,-306264.368056,13
