Time,sasa,gyrate,hbond,LJSR,CSR
0.0,25.178,0.870649,51.0,-869.28656,-1546.480347
100.0,25.685,0.875642,50.0,-848.709717,-1701.762207
200.0,26.308,0.873697,48.0,-827.920349,-1602.506104
300.0,25.613,0.864034,48.0,-771.255859,-1581.386475
400.0,26.171,0.877469,44.0,-881.039673,-1496.644653
500.0,25.543,0.876831,49.0,-980.641479,-1379.625244
600.0,25.622,0.870682,46.0,-839.973999,-1508.708618
700.0,25.538,0.865522,50.0,-812.930908,-1737.064941
800.0,25.298,0.868703,50.0,-823.947632,-1608.438721
900.0,25.454,0.86953,49.0,-882.328064,-1643.29895
1000.0,25.477,0.859593,44.0,-863.000732,-1525.765747
1100.0,25.47,0.87008,48.0,-801.868713,-1774.921021
1200.0,25.968,0.867486,48.0,-873.909241,-1536.66333
1300.0,25.058,0.873781,44.0,-869.431335,-1558.198242
1400.0,25.452,0.873037,53.0,-802.139893,-1724.871826
1500.0,25.341,0.861482,54.0,-861.587769,-1708.92041
1600.0,25.174,0.87279,51.0,-856.978149,-1764.884277
1700.0,25.16,0.861305,46.0,-834.963318,-1630.590698
1800.0,25.356,0.873584,44.0,-888.282776,-1537.111816
1900.0,25.979,0.873246,50.0,-860.598083,-1669.969849
2000.0,25.941,0.87177,49.0,-858.68103,-1737.702515
2100.0,24.945,0.86808,45.0,-936.763,-1627.736084
2200.0,25.302,0.865727,51.0,-757.336731,-1752.376221
2300.0,25.799,0.86909,47.0,-829.404907,-1715.355225
2400.0,24.742,0.85774,51.0,-795.838135,-1720.926636
2500.0,25.527,0.86961,51.0,-794.466919,-1759.512695
2600.0,25.655,0.872541,53.0,-833.159729,-1651.383301
2700.0,25.919,0.868007,51.0,-840.036987,-1613.471191
2800.0,25.318,0.876776,44.0,-899.702576,-1433.37561
2900.0,25.473,0.880948,49.0,-948.244019,-1554.407349
3000.0,25.011,0.873251,48.0,-892.871643,-1525.951782
3100.0,25.382,0.863694,47.0,-868.804688,-1631.129395
3200.0,24.814,0.865306,46.0,-767.945984,-1606.233032
3300.0,26.058,0.867898,44.0,-889.10791,-1478.197266
3400.0,25.34,0.87258,47.0,-847.629333,-1642.920654
3500.0,25.301,0.864373,47.0,-941.943848,-1517.400635
3600.0,25.537,0.867577,49.0,-946.889038,-1559.540283
3700.0,25.296,0.862883,48.0,-894.156494,-1577.093994
3800.0,24.898,0.863972,50.0,-808.405029,-1598.261719
3900.0,24.897,0.860645,48.0,-814.337646,-1610.459961
4000.0,25.372,0.868745,48.0,-940.481079,-1507.028076
4100.0,25.427,0.864359,48.0,-849.014587,-1687.451172
4200.0,25.385,0.877354,48.0,-850.258057,-1635.849121
4300.0,25.584,0.872885,50.0,-957.669006,-1595.876465
4400.0,25.813,0.87106,48.0,-922.611328,-1629.27771
4500.0,24.94,0.867279,50.0,-893.178711,-1557.907715
4600.0,25.992,0.878563,53.0,-923.977173,-1659.494507
4700.0,25.838,0.869809,50.0,-848.367493,-1511.734863
4800.0,25.453,0.866885,48.0,-865.697998,-1657.983154
4900.0,25.126,0.870706,50.0,-896.737183,-1667.771973
5000.0,25.808,0.863242,53.0,-802.458618,-1776.900635
5100.0,26.06,0.876531,47.0,-908.649658,-1658.713135
5200.0,25.612,0.859071,46.0,-741.818848,-1850.190308
5300.0,26.054,0.868849,43.0,-958.264587,-1512.258301
5400.0,25.482,0.861956,48.0,-841.911072,-1608.488525
5500.0,25.523,0.863877,46.0,-790.086914,-1719.591431
5600.0,25.404,0.865075,46.0,-908.615051,-1672.888062
5700.0,25.506,0.865408,49.0,-856.029907,-1733.192627
5800.0,25.603,0.863819,49.0,-852.805115,-1540.88855
5900.0,25.406,0.858171,48.0,-862.380615,-1666.02832
6000.0,26.279,0.868179,49.0,-827.460999,-1632.989624
6100.0,25.576,0.866021,47.0,-857.806152,-1582.587402
6200.0,25.978,0.869319,48.0,-865.21051,-1544.00708
6300.0,26.269,0.871751,47.0,-838.54895,-1549.315308
6400.0,25.611,0.868652,43.0,-894.415466,-1535.917847
6500.0,25.501,0.863862,48.0,-836.300903,-1740.72229
6600.0,24.996,0.86365,48.0,-885.194336,-1733.002441
6700.0,25.427,0.863268,48.0,-886.722473,-1669.674561
6800.0,25.844,0.869754,41.0,-811.790161,-1607.174316
6900.0,25.871,0.865107,52.0,-861.910278,-1782.587891
7000.0,25.85,0.864322,51.0,-841.84314,-1746.622437
7100.0,25.706,0.865235,49.0,-864.638184,-1656.940186
7200.0,25.973,0.861835,46.0,-919.010925,-1608.358398
7300.0,26.238,0.866985,52.0,-883.499573,-1701.306763
7400.0,25.696,0.865472,50.0,-788.556519,-1794.307495
7500.0,25.575,0.861152,47.0,-908.952393,-1568.93103
7600.0,25.696,0.865644,41.0,-996.539612,-1511.117065
7700.0,26.158,0.862849,49.0,-914.048645,-1707.471558
7800.0,25.661,0.870388,50.0,-914.201965,-1649.604736
7900.0,25.922,0.870843,42.0,-998.931335,-1390.167969
8000.0,25.835,0.863976,41.0,-857.078674,-1584.674072
8100.0,26.093,0.86955,50.0,-953.093201,-1591.480347
8200.0,26.159,0.870468,56.0,-917.598083,-1634.613281
8300.0,26.259,0.870433,51.0,-847.562134,-1687.59082
8400.0,25.415,0.869233,49.0,-893.419983,-1634.03479
8500.0,24.794,0.868138,47.0,-939.848999,-1590.983887
8600.0,25.654,0.880102,47.0,-917.72998,-1539.304443
8700.0,25.638,0.868949,53.0,-946.994141,-1661.056152
8800.0,26.11,0.872125,51.0,-868.386353,-1684.063965
8900.0,26.433,0.87041,42.0,-890.447144,-1549.748535
9000.0,25.236,0.863445,51.0,-940.383911,-1678.280518
9100.0,25.593,0.869878,49.0,-882.239136,-1630.737793
9200.0,25.383,0.869869,51.0,-910.954346,-1734.047119
9300.0,25.666,0.870108,44.0,-970.824097,-1429.513428
9400.0,25.492,0.87131,52.0,-941.63562,-1631.657227
9500.0,25.845,0.865547,42.0,-860.376953,-1605.079956
9600.0,25.225,0.863981,48.0,-933.401978,-1666.387695
9700.0,25.666,0.860506,43.0,-904.352966,-1649.621826
9800.0,25.303,0.863698,42.0,-1012.72937,-1457.839966
9900.0,25.991,0.857147,49.0,-930.288879,-1626.908325
10000.0,26.208,0.86153,44.0,-946.999023,-1563.380981
10100.0,25.791,0.856766,51.0,-884.465637,-1639.78418
10200.0,25.92,0.862092,54.0,-928.131836,-1638.302124
10300.0,26.19,0.863026,58.0,-796.637207,-1869.509766
10400.0,25.632,0.857589,53.0,-802.120605,-1826.955566
10500.0,26.277,0.859952,55.0,-876.425171,-1828.991943
10600.0,25.127,0.866076,56.0,-876.712524,-1850.161133
10700.0,25.771,0.863049,51.0,-914.932678,-1732.986084
10800.0,25.589,0.861157,56.0,-796.632385,-1758.483154
10900.0,25.814,0.865787,52.0,-896.812378,-1855.015137
11000.0,25.464,0.864761,54.0,-848.193359,-1811.695679
11100.0,25.842,0.864908,47.0,-947.740601,-1661.386963
11200.0,26.557,0.873831,53.0,-801.780029,-1908.995117
11300.0,25.045,0.857345,55.0,-913.765381,-1718.750488
11400.0,26.092,0.858465,55.0,-875.819946,-1886.859375
11500.0,25.546,0.858185,48.0,-920.054504,-1631.191162
11600.0,25.593,0.869253,49.0,-909.470825,-1798.310547
11700.0,25.877,0.861506,47.0,-868.197388,-1772.46582
11800.0,25.846,0.867054,50.0,-858.553589,-1863.119507
11900.0,26.499,0.862111,54.0,-839.725403,-1813.965088
12000.0,26.008,0.866631,49.0,-909.388306,-1833.89502
12100.0,25.794,0.863184,48.0,-909.099121,-1728.883179
12200.0,26.92,0.879813,50.0,-895.293152,-1796.344116
12300.0,26.973,0.871384,50.0,-839.711792,-1819.920898
12400.0,25.336,0.860767,48.0,-913.324707,-1790.077881
12500.0,26.323,0.874586,52.0,-837.647156,-1793.092773
12600.0,26.593,0.871724,50.0,-831.961304,-1780.260742
12700.0,25.573,0.872838,57.0,-953.107971,-1691.229004
12800.0,25.572,0.855998,53.0,-890.181946,-1690.783203
12900.0,26.956,0.87033,50.0,-898.887085,-1736.197876
13000.0,25.911,0.8692,50.0,-808.983337,-1771.451538
13100.0,26.7,0.861426,47.0,-870.079529,-1640.901367
13200.0,25.69,0.865537,50.0,-765.728271,-1817.4646
