Time,LJSR,CSR,Density
0.0,-7238.584961,-215055.09375,1417.552856
10.0,-6706.231934,-215765.390625,1418.96875
20.0,-6449.281738,-216379.609375,1419.672729
30.0,-5934.285156,-217339.09375,1430.88147
40.0,-6489.416016,-216448.046875,1424.866577
50.0,-6519.692383,-215936.15625,1420.421753
60.0,-7035.854004,-215459.390625,1407.820923
70.0,-6618.96582,-214518.171875,1410.92041
80.0,-5699.636719,-216855.25,1439.554443
90.0,-7446.915527,-214074.140625,1409.072388
100.0,-6477.544922,-216111.53125,1415.844238
110.0,-7190.463379,-215360.5,1415.792114
120.0,-6322.203613,-216228.640625,1424.827881
130.0,-6018.093262,-216001.375,1425.630981
140.0,-6522.033691,-216116.3125,1421.027832
150.0,-7038.89502,-215340.265625,1409.111694
160.0,-6689.454102,-215727.921875,1412.08667
170.0,-6922.966309,-215313.703125,1428.452637
180.0,-6376.57373,-216018.015625,1421.604736
190.0,-6564.473145,-215215.15625,1425.573853
200.0,-6773.915039,-214731.421875,1416.338989
210.0,-6250.501953,-216517.5625,1417.480469
220.0,-6168.455078,-216534.96875,1427.784424
230.0,-6382.290039,-215663.953125,1424.098389
240.0,-7140.714844,-215411.28125,1424.18689
250.0,-6946.324219,-215704.765625,1424.371704
260.0,-6353.518555,-216311.296875,1428.961182
270.0,-6211.28125,-215998.625,1425.864014
280.0,-6529.366699,-215258.03125,1415.085693
290.0,-5968.057129,-215332.78125,1422.275635
300.0,-6160.664551,-216110.796875,1421.592651
310.0,-6143.842773,-216041.265625,1422.025757
320.0,-6821.857422,-215389.546875,1413.494629
330.0,-7024.65625,-215441.5625,1414.133667
340.0,-5915.570312,-216594.140625,1429.965942
350.0,-6734.731934,-215630.546875,1421.167603
360.0,-5843.509277,-216427.234375,1424.640869
370.0,-6184.501953,-216677.359375,1428.165161
380.0,-7052.733887,-215083.953125,1421.530762
390.0,-6537.687012,-216263.453125,1418.199707
400.0,-5554.071289,-217199.546875,1433.487427
410.0,-6589.10791,-215923.59375,1418.049683
420.0,-6325.526367,-216406.390625,1422.086304
430.0,-6259.01416,-216038.125,1428.681396
440.0,-6180.005371,-216055.71875,1430.94519
