Time,sasa,gyrate,hbond,LJSR,CSR
0.0,26.336,0.874042,51.0,-829.17804,-1754.009644
100.0,26.523,0.875241,43.0,-912.534546,-1599.979248
200.0,27.331,0.886604,52.0,-808.945435,-1667.043701
300.0,26.821,0.877047,53.0,-860.568665,-1756.499512
400.0,26.757,0.878488,56.0,-773.649414,-1845.179932
500.0,27.81,0.887678,56.0,-869.114075,-1674.416992
600.0,26.482,0.888626,45.0,-887.78186,-1557.049561
700.0,26.823,0.887881,56.0,-809.925171,-1661.294189
800.0,26.772,0.882909,52.0,-843.599731,-1679.935913
900.0,27.303,0.897084,52.0,-874.143799,-1709.496704
1000.0,27.181,0.885798,58.0,-852.438416,-1737.584106
1100.0,27.012,0.885783,58.0,-851.394531,-1709.496582
1200.0,27.014,0.886948,51.0,-885.514709,-1685.181274
1300.0,27.465,0.886134,49.0,-904.397156,-1544.676514
1400.0,27.805,0.889556,56.0,-784.676025,-1883.297485
1500.0,27.025,0.884814,58.0,-867.684143,-1818.822876
1600.0,27.328,0.882721,50.0,-826.057983,-1844.977783
1700.0,27.096,0.886173,52.0,-934.362061,-1640.640381
1800.0,26.45,0.890498,52.0,-876.536743,-1671.657959
1900.0,27.375,0.88913,59.0,-908.615967,-1733.777222
2000.0,26.358,0.885299,51.0,-836.238037,-1802.5177
2100.0,27.415,0.890499,50.0,-900.596313,-1653.988525
2200.0,26.448,0.888628,52.0,-805.430237,-1755.454956
2300.0,26.662,0.893949,58.0,-850.491211,-1889.241455
2400.0,26.85,0.888687,57.0,-780.818665,-1895.141235
2500.0,27.086,0.894482,53.0,-759.055176,-1858.920654
2600.0,26.908,0.890807,57.0,-730.707397,-1837.420532
2700.0,26.601,0.873964,65.0,-765.438782,-1870.077148
2800.0,27.657,0.891424,60.0,-789.953552,-1884.872559
2900.0,27.406,0.890365,59.0,-765.57135,-2031.231812
3000.0,27.525,0.892438,58.0,-826.235046,-1889.890381
3100.0,27.17,0.88932,59.0,-852.93634,-1890.214111
3200.0,27.704,0.890176,58.0,-786.232605,-1880.173828
3300.0,27.309,0.884916,61.0,-761.804749,-1980.924927
3400.0,26.66,0.883819,59.0,-869.37677,-1829.470947
3500.0,27.042,0.889494,54.0,-753.373352,-1809.404785
3600.0,26.732,0.889761,55.0,-880.614258,-1778.740723
3700.0,26.389,0.884,49.0,-907.727051,-1710.549805
3800.0,25.788,0.879467,53.0,-779.266418,-1840.744141
3900.0,27.063,0.881468,54.0,-913.071228,-1756.949341
4000.0,27.199,0.883947,51.0,-902.775391,-1720.068115
4100.0,27.625,0.89306,55.0,-890.12146,-1682.185791
4200.0,27.57,0.885139,53.0,-915.922852,-1731.340332
4300.0,26.935,0.879245,52.0,-935.766235,-1704.996826
4400.0,27.516,0.879754,54.0,-901.001892,-1928.289185
4500.0,27.734,0.887725,51.0,-769.995422,-1909.835083
4600.0,27.197,0.880217,54.0,-904.796326,-1710.649292
4700.0,27.181,0.890209,52.0,-857.676514,-1800.395142
4800.0,27.188,0.886398,53.0,-849.391296,-1780.662842
4900.0,27.719,0.886558,53.0,-857.332703,-1821.664307
5000.0,27.014,0.879895,54.0,-807.733521,-1831.036743
5100.0,26.679,0.888529,57.0,-742.240112,-1786.470703
5200.0,26.886,0.882922,53.0,-898.961121,-1746.741699
5300.0,26.852,0.877316,48.0,-872.326965,-1641.738281
5400.0,25.973,0.870609,55.0,-785.178772,-1686.150391
5500.0,26.88,0.882728,54.0,-816.812073,-1784.276001
5600.0,26.807,0.88701,52.0,-830.468933,-1673.943481
5700.0,27.077,0.893395,54.0,-875.197388,-1666.448486
5800.0,28.124,0.896135,54.0,-962.520874,-1651.339844
5900.0,27.264,0.887681,54.0,-864.707642,-1745.992432
6000.0,27.503,0.89275,53.0,-872.026672,-1831.285767
6100.0,27.274,0.896727,57.0,-845.739624,-1847.419556
6200.0,27.83,0.905112,58.0,-804.083923,-1936.953613
6300.0,27.026,0.895988,58.0,-844.215332,-1861.333252
6400.0,27.414,0.895066,58.0,-769.131592,-1983.364014
6500.0,27.591,0.899495,50.0,-904.055542,-1760.31543
6600.0,27.392,0.890188,49.0,-859.897461,-1807.232544
6700.0,27.877,0.901537,47.0,-905.623718,-1749.577026
6800.0,27.421,0.891589,57.0,-935.475769,-1797.919312
6900.0,27.803,0.896036,51.0,-832.896057,-1822.370239
7000.0,28.025,0.891026,57.0,-785.403198,-2028.634521
7100.0,27.235,0.894312,52.0,-898.428589,-1751.427612
7200.0,27.916,0.899469,54.0,-853.013062,-1868.395996
7300.0,27.148,0.899114,60.0,-924.412903,-1864.870728
7400.0,27.826,0.895523,55.0,-844.425842,-1839.70105
7500.0,27.772,0.896602,53.0,-850.757446,-1757.479126
7600.0,27.592,0.895853,60.0,-747.166931,-2001.545166
7700.0,27.792,0.905958,61.0,-898.045837,-1875.810791
7800.0,28.143,0.893634,54.0,-785.003296,-1918.658569
7900.0,27.588,0.898558,58.0,-802.534485,-1846.218018
8000.0,27.732,0.896935,56.0,-723.290344,-1951.271973
8100.0,27.905,0.902348,57.0,-808.383179,-1924.185181
8200.0,27.874,0.901218,59.0,-802.597778,-1932.300415
8300.0,28.045,0.906556,57.0,-883.219666,-1964.202637
8400.0,27.83,0.914519,56.0,-889.675049,-1940.25708
8500.0,27.252,0.907042,58.0,-823.825317,-1875.532593
8600.0,28.235,0.909315,59.0,-876.687866,-1910.485107
