Time,sasa,gyrate,hbond,LJSR,CSR
0.0,25.516,0.874558,42.0,-967.901855,-3006.546387
100.0,25.899,0.869757,39.0,-867.02948,-3256.874023
200.0,26.739,0.882052,43.0,-864.365051,-3073.4375
300.0,27.445,0.888013,34.0,-792.838501,-3383.431641
400.0,26.236,0.876748,41.0,-958.232361,-3100.524414
500.0,26.462,0.878112,43.0,-1025.30188,-3131.102295
600.0,28.09,0.905167,48.0,-819.407471,-3182.882324
700.0,27.973,0.900937,46.0,-833.315796,-3261.830078
800.0,27.549,0.909956,40.0,-876.367432,-3118.005859
900.0,26.127,0.879876,39.0,-934.477356,-3213.331055
1000.0,24.77,0.873484,43.0,-783.803772,-3139.308105
1100.0,27.82,0.910406,47.0,-935.067505,-3175.924561
1200.0,25.832,0.876953,44.0,-808.377991,-3295.028809
1300.0,25.248,0.872389,43.0,-950.266357,-3063.444092
1400.0,25.356,0.880195,41.0,-858.110474,-3127.337891
1500.0,26.51,0.886956,42.0,-956.157166,-3200.592285
1600.0,26.715,0.876621,40.0,-881.282166,-3099.409912
1700.0,26.339,0.875939,41.0,-957.929443,-3161.427246
1800.0,27.817,0.893262,36.0,-760.019348,-3371.935547
1900.0,26.063,0.871412,42.0,-921.801086,-3285.687012
2000.0,25.491,0.869239,39.0,-892.154053,-3236.563232
2100.0,25.413,0.870441,43.0,-869.377747,-3251.521484
2200.0,25.543,0.85866,47.0,-814.698914,-3171.458252
2300.0,26.492,0.872119,50.0,-866.910156,-3226.098145
2400.0,25.778,0.872157,45.0,-837.265381,-3357.357666
2500.0,26.849,0.899179,47.0,-906.841614,-3272.410889
2600.0,27.408,0.889375,47.0,-837.737915,-3326.35083
2700.0,25.871,0.866302,49.0,-856.570435,-3130.257568
2800.0,26.565,0.884919,46.0,-877.903198,-3414.744141
2900.0,27.371,0.905588,43.0,-929.409607,-3141.108887
3000.0,26.603,0.891164,45.0,-914.932739,-2924.629395
3100.0,26.422,0.882765,44.0,-941.976379,-3211.756104
3200.0,26.74,0.887675,45.0,-813.47113,-3175.14502
3300.0,27.289,0.889903,45.0,-888.187317,-3201.958496
3400.0,26.694,0.883023,46.0,-933.510742,-3275.149902
3500.0,26.278,0.879496,51.0,-895.465271,-3245.813232
3600.0,25.952,0.879546,45.0,-842.635681,-3225.479492
3700.0,27.134,0.909552,45.0,-893.425171,-3221.213135
3800.0,26.235,0.884704,45.0,-845.46106,-3321.056152
3900.0,27.138,0.922534,44.0,-892.336792,-3196.656738
4000.0,25.849,0.900509,43.0,-838.728516,-3568.718262
4100.0,26.147,0.893418,43.0,-905.136963,-3189.878662
4200.0,26.804,0.894905,44.0,-942.767029,-3420.265869
4300.0,27.086,0.892683,45.0,-849.181274,-3252.011719
4400.0,25.332,0.872764,41.0,-778.259521,-3326.355469
4500.0,26.026,0.895043,43.0,-897.139221,-3315.914795
4600.0,27.324,0.888269,47.0,-1012.31134,-3184.155273
4700.0,25.819,0.88246,45.0,-966.391785,-3377.889893
4800.0,26.364,0.89426,42.0,-911.169861,-3310.887695
4900.0,26.537,0.883691,42.0,-976.442383,-3151.180664
5000.0,27.526,0.913328,45.0,-845.125671,-3310.051758
