Time,sasa,gyrate,hbond,LJSR,CSR
0.0,25.444,0.865334,54.0,-704.364075,-1816.470459
100.0,26.001,0.87371,51.0,-726.455383,-1773.418823
200.0,26.15,0.891979,51.0,-825.95343,-1588.061279
300.0,25.584,0.878424,46.0,-772.015747,-1555.242188
400.0,25.757,0.875919,49.0,-861.318359,-1472.806152
500.0,25.417,0.865096,49.0,-801.492615,-1613.366699
600.0,24.862,0.870023,47.0,-665.691711,-1729.908936
700.0,25.711,0.877521,52.0,-588.049255,-1817.103882
800.0,26.752,0.882393,51.0,-785.143738,-1678.218384
900.0,26.237,0.876525,53.0,-754.110657,-1702.822998
1000.0,25.566,0.895327,52.0,-787.404358,-1556.810303
1100.0,25.304,0.882832,48.0,-800.833923,-1461.597168
1200.0,26.018,0.87922,49.0,-807.841064,-1512.23291
1300.0,26.339,0.883154,51.0,-760.354858,-1585.783813
1400.0,26.376,0.882062,42.0,-842.28302,-1362.835815
1500.0,24.903,0.873383,48.0,-754.403198,-1537.183594
1600.0,25.923,0.875181,52.0,-753.67749,-1684.425171
1700.0,25.526,0.881931,43.0,-763.063171,-1544.147949
1800.0,26.115,0.87939,49.0,-738.134644,-1713.703125
1900.0,24.251,0.872617,46.0,-767.68457,-1587.910522
2000.0,25.447,0.870071,49.0,-740.705872,-1695.940308
2100.0,24.906,0.882849,49.0,-703.796753,-1698.574219
2200.0,25.897,0.887365,47.0,-709.854309,-1734.080933
2300.0,25.493,0.882451,49.0,-755.394348,-1578.296143
2400.0,24.841,0.88501,47.0,-713.52655,-1756.808838
2500.0,25.076,0.880238,50.0,-726.445374,-1742.431641
2600.0,24.634,0.882754,53.0,-709.497498,-1804.219482
2700.0,24.935,0.88535,51.0,-795.094971,-1689.29541
2800.0,25.007,0.888846,46.0,-685.571594,-1750.268677
2900.0,25.119,0.880342,57.0,-656.203918,-1861.693848
3000.0,25.897,0.882785,50.0,-807.088867,-1661.736938
3100.0,24.597,0.877123,49.0,-750.256287,-1693.292236
3200.0,26.253,0.883565,54.0,-720.807251,-1866.857788
3300.0,25.232,0.87851,53.0,-714.930481,-1837.266357
3400.0,26.102,0.883525,51.0,-753.10791,-1761.636719
3500.0,25.879,0.87784,55.0,-754.022217,-1830.848145
3600.0,25.04,0.879659,55.0,-736.197021,-1787.896851
3700.0,24.819,0.879025,50.0,-660.739746,-1767.269287
3800.0,25.153,0.876533,50.0,-757.985352,-1756.427002
3900.0,25.503,0.882104,56.0,-745.626343,-1889.390137
4000.0,25.332,0.88355,55.0,-653.046631,-1873.811768
4100.0,25.044,0.874486,54.0,-729.54303,-1849.101318
4200.0,25.464,0.880179,50.0,-723.864136,-1740.653076
4300.0,25.321,0.889188,53.0,-736.072327,-1786.036987
4400.0,24.784,0.878412,44.0,-764.919312,-1671.897461
4500.0,25.405,0.880733,57.0,-695.277222,-1889.874512
4600.0,25.168,0.868976,48.0,-722.097534,-1728.369995
4700.0,25.263,0.883959,49.0,-745.874207,-1595.148926
4800.0,25.753,0.877493,53.0,-687.192139,-1864.977051
4900.0,25.467,0.882036,51.0,-669.009399,-1895.832764
5000.0,25.066,0.879836,51.0,-695.927185,-1885.250366
5100.0,25.695,0.886978,56.0,-728.034546,-1847.103027
5200.0,25.249,0.870795,51.0,-782.753235,-1653.933472
5300.0,24.755,0.874986,49.0,-710.768677,-1792.810913
5400.0,25.057,0.873747,50.0,-712.754517,-1828.525635
5500.0,26.208,0.886219,52.0,-676.012512,-1780.455933
5600.0,25.374,0.874497,50.0,-818.687927,-1489.30249
5700.0,25.464,0.878896,49.0,-698.709595,-1792.310791
5800.0,25.388,0.87519,47.0,-717.658569,-1651.922974
5900.0,24.974,0.86867,48.0,-806.136841,-1653.203125
6000.0,24.994,0.878994,50.0,-800.104675,-1729.552124
6100.0,25.952,0.870907,50.0,-706.598389,-1761.437988
6200.0,26.143,0.88407,50.0,-785.062988,-1684.751831
6300.0,25.17,0.887802,43.0,-729.963867,-1639.838623
6400.0,26.339,0.891113,45.0,-781.421631,-1470.012939
6500.0,26.363,0.892288,52.0,-789.119446,-1663.453369
6600.0,25.641,0.893512,47.0,-745.231934,-1628.144043
6700.0,25.721,0.886612,51.0,-801.827087,-1649.470337
6800.0,25.141,0.881073,52.0,-777.872314,-1678.93396
6900.0,26.877,0.898344,52.0,-834.313416,-1684.269653
7000.0,25.657,0.8837,49.0,-898.442627,-1491.308228
7100.0,25.953,0.888496,47.0,-919.590454,-1560.353027
7200.0,26.282,0.889232,50.0,-797.634949,-1599.082275
7300.0,25.078,0.877844,44.0,-752.62738,-1573.391235
7400.0,25.461,0.883342,49.0,-821.084595,-1518.796265
7500.0,25.983,0.879127,50.0,-772.723877,-1623.175293
7600.0,26.455,0.887975,50.0,-877.216431,-1406.085205
7700.0,26.663,0.896762,47.0,-872.34613,-1479.52832
7800.0,26.582,0.907968,52.0,-748.685242,-1627.36792
7900.0,26.937,0.908738,52.0,-900.197754,-1588.324219
8000.0,26.407,0.885426,49.0,-789.942993,-1715.569336
8100.0,26.651,0.889027,43.0,-763.675842,-1634.938232
8200.0,25.854,0.88336,48.0,-745.233215,-1620.536377
8300.0,26.99,0.898108,53.0,-700.541992,-1868.847778
8400.0,28.044,0.910288,51.0,-741.330444,-1690.372314
8500.0,25.938,0.884698,51.0,-708.09729,-1623.653076
8600.0,26.581,0.895216,60.0,-798.50769,-1647.495483
8700.0,25.497,0.885373,49.0,-740.043396,-1669.431763
8800.0,25.469,0.885666,53.0,-743.398315,-1624.132935
8900.0,26.278,0.879499,50.0,-801.071411,-1644.396973
9000.0,26.258,0.885135,51.0,-778.152832,-1712.536133
9100.0,25.601,0.876076,50.0,-676.357788,-1750.349609
9200.0,26.699,0.883623,53.0,-822.322571,-1750.913086
9300.0,26.815,0.882994,57.0,-803.909912,-1704.339355
9400.0,26.693,0.897271,56.0,-741.425171,-1810.59729
9500.0,26.758,0.891152,51.0,-844.619751,-1667.596436
9600.0,27.477,0.895762,50.0,-817.933533,-1649.830933
9700.0,27.227,0.910765,60.0,-756.093689,-1928.8125
9800.0,26.899,0.891071,57.0,-825.961792,-1696.817505
9900.0,27.988,0.910568,48.0,-869.231445,-1739.420288
10000.0,28.231,0.911551,50.0,-755.093811,-1623.417725
10100.0,27.343,0.913405,59.0,-740.661987,-2032.450195
10200.0,28.168,0.933182,62.0,-876.859314,-1792.638916
10300.0,27.711,0.929744,55.0,-880.881897,-1805.794556
10400.0,28.105,0.931462,57.0,-807.010315,-1932.723999
10500.0,26.975,0.929491,57.0,-781.532104,-1994.676636
10600.0,26.606,0.911546,50.0,-683.655212,-1912.344727
