Time,LJSR,CSR,Density
0.0,-21964.734375,-314444.34375,1002.797791
10.0,-22228.878906,-314713.09375,1006.961548
20.0,-21884.292969,-315068.59375,1007.835571
30.0,-22451.341797,-314345.8125,1010.531006
40.0,-21874.050781,-314796.75,998.351868
50.0,-21632.28125,-315907.75,1003.26709
60.0,-21623.427734,-315231.75,994.902588
70.0,-21883.142578,-315023.0,1007.415405
80.0,-21983.845703,-315202.40625,1006.482849
90.0,-21805.53125,-314825.375,1007.589783
100.0,-21965.025391,-315083.84375,1001.527466
110.0,-22449.085938,-314135.34375,998.812134
120.0,-21920.777344,-315340.84375,1001.030273
130.0,-22064.132812,-314793.46875,1005.699402
140.0,-21168.111328,-316576.1875,1018.551331
150.0,-22075.164062,-314333.625,1005.117615
160.0,-21759.748047,-315720.28125,1008.594055
170.0,-21473.048828,-315389.375,999.387634
180.0,-22041.791016,-314926.59375,1004.488403
190.0,-22013.597656,-314452.625,996.46637
200.0,-22311.839844,-314788.3125,999.903259
210.0,-21886.039062,-315269.71875,1003.223999
220.0,-21740.066406,-314967.0,1000.043945
230.0,-21733.15625,-315241.65625,1003.888855
240.0,-21906.322266,-314983.5625,1006.670044
250.0,-21854.369141,-314743.25,1014.865051
260.0,-21734.472656,-315059.75,1002.973694
270.0,-22228.626953,-314610.15625,1004.518311
280.0,-21459.169922,-315674.875,1002.157471
290.0,-21881.009766,-314845.53125,1002.159363
300.0,-21397.238281,-315182.0,1006.218689
310.0,-21761.316406,-315318.375,1010.323059
320.0,-21843.658203,-314920.71875,1011.10553
330.0,-22114.904297,-314080.84375,994.647705
340.0,-22175.519531,-314220.875,1003.742859
350.0,-21644.314453,-315474.6875,1004.998108
360.0,-21250.431641,-315103.84375,1004.362122
370.0,-21747.089844,-315047.4375,1002.446777
380.0,-21859.728516,-314928.53125,1008.334534
390.0,-21927.105469,-314762.03125,1009.33844
400.0,-22245.322266,-314604.5,1002.976624
410.0,-21617.8125,-315431.875,1002.997559
420.0,-21399.324219,-315401.375,1007.064941
430.0,-21796.242188,-314947.6875,1012.071716
440.0,-21987.300781,-315017.78125,1004.51062
450.0,-22111.625,-315177.78125,1005.765991
460.0,-21872.220703,-315562.59375,1008.474304
470.0,-21500.279297,-315271.8125,1010.615601
480.0,-21704.572266,-315052.0625,1011.295959
490.0,-21837.984375,-315037.90625,1000.430603
500.0,-21458.980469,-315452.90625,1004.706177
510.0,-22138.994141,-314949.34375,1002.443848
520.0,-21604.75,-315394.78125,1005.88208
530.0,-21598.742188,-315029.5625,998.808533
540.0,-21472.607422,-315473.28125,1015.284973
550.0,-21902.501953,-314905.03125,1009.250732
560.0,-22065.105469,-315440.71875,1020.447266
570.0,-22032.365234,-314767.46875,1010.057068
580.0,-21873.488281,-314726.90625,1009.586731
590.0,-21602.314453,-314935.4375,1008.642029
600.0,-22540.185547,-314529.3125,1000.187195
610.0,-21845.908203,-314364.03125,1001.630676
620.0,-21642.101562,-314958.34375,1007.686096
630.0,-21397.419922,-315313.34375,1012.434265
640.0,-21871.935547,-314751.09375,998.967773
650.0,-22131.712891,-314361.71875,1003.98291
660.0,-21744.228516,-315467.3125,1002.053955
670.0,-21577.660156,-314925.09375,1005.243896
680.0,-21448.533203,-315296.53125,1011.617615
690.0,-22114.130859,-314289.46875,1005.619568
700.0,-21471.158203,-315169.46875,1009.024353
710.0,-21740.654297,-314964.0625,1005.93457
720.0,-21695.576172,-315285.8125,999.350769
730.0,-21755.708984,-315035.1875,1004.139526
740.0,-21936.871094,-315146.46875,1012.997253
750.0,-21987.748047,-314233.90625,994.410156
760.0,-21698.535156,-314729.375,999.157654
770.0,-21652.447266,-314360.78125,994.698792
780.0,-21709.947266,-314895.96875,1009.139221
790.0,-21420.429688,-315143.3125,1012.445679
800.0,-21650.929688,-315569.78125,1015.267029
810.0,-22213.349609,-315137.5625,1008.19873
820.0,-21695.564453,-315440.875,1004.749329
830.0,-21493.486328,-315260.34375,1017.147644
840.0,-21504.794922,-315249.78125,1005.660156
850.0,-21660.083984,-314404.5,995.818542
860.0,-21652.722656,-314505.90625,1000.387085
870.0,-21483.689453,-315880.59375,1014.566833
880.0,-21819.488281,-315088.21875,1006.029053
890.0,-22104.724609,-314783.34375,1002.715759
900.0,-22234.701172,-314127.34375,1000.200562
910.0,-21424.025391,-315264.5625,1004.24353
920.0,-21849.009766,-314735.96875,1008.843384
930.0,-21751.978516,-314998.71875,1010.818604
940.0,-22107.726562,-314535.75,1017.838623
950.0,-21653.117188,-314557.84375,1008.19342
960.0,-21459.705078,-315117.03125,1017.114136
970.0,-21863.923828,-314820.34375,1017.5802
980.0,-22100.150391,-314585.1875,1015.773071
990.0,-22095.435547,-314529.15625,1007.048218
1000.0,-22057.878906,-313441.46875,998.825745
1010.0,-21670.794922,-314747.4375,1001.057129
1020.0,-21598.402344,-315111.1875,990.43042
