Time,LJSR,CSR,Density
0.0,-1424.041992,-292355.375,1350.955933
10.0,-1510.989258,-292101.625,1352.174438
20.0,-2657.421387,-290743.6875,1351.158691
30.0,-2352.904541,-291022.21875,1337.976929
40.0,-1884.339355,-292327.09375,1353.087158
50.0,-2079.068359,-291646.59375,1348.471924
60.0,-2249.844971,-291629.78125,1349.394897
70.0,-1991.751343,-292212.5625,1349.191895
80.0,-2669.625977,-290740.53125,1345.462158
90.0,-1767.598511,-291168.25,1342.643066
100.0,-2985.64502,-290451.40625,1345.534058
110.0,-1565.598267,-292530.71875,1348.816406
120.0,-1708.471069,-292551.15625,1347.40625
130.0,-1986.619507,-291846.125,1347.441528
140.0,-1913.256226,-292211.78125,1347.237793
150.0,-2008.077026,-292423.0,1344.912842
160.0,-1194.635132,-292931.375,1352.488037
170.0,-2710.124268,-291015.5,1349.605469
180.0,-1713.314941,-292278.75,1348.786133
190.0,-1943.86438,-291589.9375,1337.852661
200.0,-1164.881836,-293556.65625,1353.138306
210.0,-2074.212158,-292836.15625,1351.193848
220.0,-1237.477539,-292499.53125,1346.50293
230.0,-1887.647705,-292247.6875,1342.326538
240.0,-2098.182617,-291962.21875,1343.010742
250.0,-1633.630859,-292615.4375,1359.370728
260.0,-916.959412,-293234.4375,1344.446045
270.0,-1757.105103,-292962.09375,1347.413208
280.0,-1588.018066,-292877.3125,1346.985229
290.0,-1726.468262,-292009.625,1344.983643
300.0,-1933.65686,-292409.1875,1346.578613
310.0,-1776.720703,-291463.6875,1353.280151
320.0,-2762.173584,-291139.625,1336.029785
330.0,-2304.762451,-290989.71875,1342.033569
340.0,-1787.65271,-292760.03125,1352.909912
350.0,-1937.308105,-292257.40625,1350.650757
360.0,-2779.80542,-291197.40625,1341.506226
370.0,-2038.550537,-291907.8125,1354.297485
380.0,-1270.371216,-293479.78125,1358.706909
390.0,-2435.476562,-291775.40625,1350.783447
400.0,-2378.76416,-291140.46875,1344.61792
410.0,-2577.572754,-291881.71875,1350.770142
420.0,-1927.528564,-292703.90625,1352.762695
